dataset,max_depth,test_accuracy,oob_accuracy,oob_coverage
breast_cancer,1,0.9298245614035088,0.9186813186813186,1.0
breast_cancer,2,0.9473684210526315,0.9384615384615385,1.0
breast_cancer,3,0.956140350877193,0.9538461538461539,1.0
breast_cancer,4,0.956140350877193,0.9582417582417583,1.0
breast_cancer,5,0.9473684210526315,0.9648351648351648,1.0
breast_cancer,6,0.956140350877193,0.9604395604395605,1.0
breast_cancer,7,0.956140350877193,0.9538461538461539,1.0
breast_cancer,8,0.956140350877193,0.9582417582417583,1.0
breast_cancer,9,0.956140350877193,0.9604395604395605,1.0
breast_cancer,10,0.956140350877193,0.9604395604395605,1.0
breast_cancer,11,0.956140350877193,0.9604395604395605,1.0
breast_cancer,12,0.956140350877193,0.9604395604395605,1.0
breast_cancer,13,0.956140350877193,0.9604395604395605,1.0
breast_cancer,14,0.956140350877193,0.9604395604395605,1.0
breast_cancer,15,0.956140350877193,0.9604395604395605,1.0
breast_cancer,16,0.956140350877193,0.9604395604395605,1.0
breast_cancer,17,0.956140350877193,0.9604395604395605,1.0
breast_cancer,18,0.956140350877193,0.9604395604395605,1.0
breast_cancer,19,0.956140350877193,0.9604395604395605,1.0
breast_cancer,20,0.956140350877193,0.9604395604395605,1.0
