dataset,n_estimators,test_accuracy,oob_accuracy,oob_coverage
breast_cancer,1,0.9210526315789473,0.8944099378881988,0.35384615384615387
breast_cancer,10,0.956140350877193,0.9419642857142857,0.9846153846153847
breast_cancer,20,0.956140350877193,0.9494505494505494,1.0
breast_cancer,30,0.956140350877193,0.9494505494505494,1.0
breast_cancer,40,0.956140350877193,0.9516483516483516,1.0
breast_cancer,50,0.956140350877193,0.9604395604395605,1.0
breast_cancer,60,0.956140350877193,0.9604395604395605,1.0
breast_cancer,70,0.956140350877193,0.9604395604395605,1.0
breast_cancer,80,0.956140350877193,0.9604395604395605,1.0
breast_cancer,90,0.956140350877193,0.9604395604395605,1.0
breast_cancer,100,0.956140350877193,0.9604395604395605,1.0
breast_cancer,110,0.956140350877193,0.9582417582417583,1.0
breast_cancer,120,0.956140350877193,0.9582417582417583,1.0
breast_cancer,130,0.956140350877193,0.9626373626373627,1.0
breast_cancer,140,0.956140350877193,0.9626373626373627,1.0
breast_cancer,150,0.956140350877193,0.9648351648351648,1.0
breast_cancer,160,0.956140350877193,0.9626373626373627,1.0
breast_cancer,170,0.956140350877193,0.9648351648351648,1.0
breast_cancer,180,0.956140350877193,0.967032967032967,1.0
breast_cancer,190,0.956140350877193,0.967032967032967,1.0
breast_cancer,200,0.956140350877193,0.967032967032967,1.0
