dataset,fold,model,accuracy,f1_macro,auc_roc
covertype,1,single_tree,0.7135,0.5423900711930807,0.7418954726452999
covertype,1,adaboost,0.5745,0.3897030187856178,0.8440359019390151
covertype,1,random_forest,0.8065,0.6530957748948227,0.9669033749219962
covertype,1,sklearn_rf_reference,0.8285,0.6600239398481296,0.969971914182136
covertype,2,single_tree,0.7105,0.5871141780337853,0.7648985535294536
covertype,2,adaboost,0.6205,0.35683483790069875,0.8362732607430596
covertype,2,random_forest,0.782,0.6581924330508484,0.958931892922508
covertype,2,sklearn_rf_reference,0.8025,0.676856788285841,0.9656011271351266
covertype,3,single_tree,0.7205,0.5923958217061432,0.7643028810812454
covertype,3,adaboost,0.6475,0.3580156786944012,0.8455560700587201
covertype,3,random_forest,0.781,0.6929999183049275,0.9567256031830629
covertype,3,sklearn_rf_reference,0.7985,0.7243702493578653,0.9633230662260492
covertype,4,single_tree,0.7225,0.5678700184290694,0.7442084728445727
covertype,4,adaboost,0.5945,0.3334526271564128,0.8555578144692261
covertype,4,random_forest,0.806,0.6885484012252368,0.9639961588559498
covertype,4,sklearn_rf_reference,0.82,0.6591877568793169,0.9660892719564662
covertype,5,single_tree,0.7035,0.5527298769925431,0.7407285582771767
covertype,5,adaboost,0.638,0.43306949487453467,0.8604269345004413
covertype,5,random_forest,0.7935,0.6915924300875398,0.9649640673093661
covertype,5,sklearn_rf_reference,0.807,0.6987867520190011,0.9661813856552011
