component,cumulative_explained_variance
1,0.4427202560752636
2,0.6324320765155943
3,0.7263637090899082
4,0.7923850582446097
5,0.8473427431680723
6,0.8875879635669058
7,0.910095300696731
8,0.9259825386969442
9,0.9398790324425353
10,0.9515688143366668
11,0.9613660042126471
12,0.970071383220026
13,0.9781166330919933
14,0.9833502905469196
15,0.986488122714547
16,0.9891502160796993
17,0.9911301840050236
18,0.99288414345525
19,0.9945333965144751
20,0.9955720432628139
21,0.9965711397265141
22,0.9974857864775685
23,0.9982971477364676
24,0.9988989813031393
25,0.9994150236823045
26,0.999687611677782
27,0.999917627140288
28,0.9999706050693261
29,0.999995565172573
30,1.0000000000000004
